,corr_max,corr_min
0,0.002497761848151265,-0.015861246029908856
1,-0.008263682956703565,-0.055209759834957364
2,-0.03380191498525646,-0.11784714876254594
3,-0.040402833856359455,-0.10657663345909134
4,-0.051621908682313936,-0.1489954158377456
5,0.006664485625540326,-0.0522259096216859
6,0.0337097482523617,-0.019215715378563838
7,0.035063037651755016,-0.03110627546323579
8,0.030896697829079462,-0.021475675916302124
9,0.024504870163508385,-0.0006041630334102717
10,-0.052295011587052936,-0.1379382555987233
11,-0.06283570780764895,-0.1522217940179391
12,0.0303116423497403,-0.006774761648570627
13,0.027380564440417452,-0.003944961980117544
14,0.0436145172827541,0.010792207521757078
15,-0.012265240534980055,-0.060605302629981546
16,0.05977991927475152,0.019207391382318913
17,0.042171538955405055,0.009787745951850613
18,0.036715008268863446,0.01075432398835936
19,0.018988853984717467,-0.00571932619787822
20,0.006800720418659575,-0.015777440687856057
21,0.06367368452743409,0.04545589103556701
